source,target,relation,description,source_chunk
Premiere,Top Gear Korea,premieres,First broadcast of Top Gear Korea,unknown_0
Tabas-e Masina,Gazik District,located_in,Tabas-e Masina is located in Gazik District,unknown_0
Gazik District,Darmian County,located_in,Gazik District is located in Darmian County,unknown_0
Darmian County,South Khorasan Province,located_in,Darmian County is located in South Khorasan Province,unknown_0
South Khorasan Province,Iran,located_in,South Khorasan Province is located in Iran,unknown_0
Tabas-e Masina,2006 census,participated_in,Tabas-e Masina participated in the 2006 census,unknown_0
2006 census,Population,measured,The 2006 census measured the population of Tabas-e Masina,unknown_0
Aghajari,Iran,located_in,Aghajari is a city in Iran,unknown_0
Aghajari,Khuzestan Province,located_in,Aghajari is a city in Khuzestan Province,unknown_0
Aghajari,Central District,part_of,Aghajari is the capital of Central District,unknown_0
Aghajari,Aghajari County,located_in,Aghajari is a city in Aghajari County,unknown_0
Iran-Iraq War,Aghajari,affected_by,Aghajari's population was affected by the Iran-Iraq War,unknown_0
Population,Aghajari,measured_by,Population is measured in Aghajari,unknown_0
Census,Population,measures,Census measures Population,unknown_0
Sareyn County,Ardabil Province,located_in,Sareyn County is located in Ardabil Province,unknown_0
Sareyn County,Iran,part_of,Sareyn County is part of Iran,unknown_0
Sareyn,Sareyn County,capital_of,Sareyn is the capital of Sareyn County,unknown_0
Central District,Sareyn County,part_of,Central District is part of Sareyn County,unknown_0
Sabalan District,Sareyn County,part_of,Sabalan District is part of Sareyn County,unknown_0
2006 census,Sareyn County,related_to,The 2006 census is related to Sareyn County,unknown_0
Ningi,Bauchi State,located_in,Ningi is located in Bauchi State,unknown_0
Ningi,Nigeria,part_of,Ningi is part of Nigeria,unknown_0
Ningi,Emirate,instance_of,Ningi is an instance of an Emirate,unknown_0
Ningi,Local Government Area,instance_of,Ningi is an instance of a Local Government Area,unknown_0
Population,Census,measured_by,Population is measured by Census,unknown_0
Yunusa Mohammadu Danyaya,Ningi,is_emir_of,Yunusa Mohammadu Danyaya is the Emir of Ningi,unknown_0
"Fa,awa",Ningi,inhabits,"Fa,awa people inhabit Ningi",unknown_0
Warjawa,Ningi,inhabits,Warjawa people inhabit Ningi,unknown_0
Duwa,Ningi,inhabits,Duwa people inhabit Ningi,unknown_0
Ningawa,Ningi,inhabits,Ningawa people inhabit Ningi,unknown_0
Fulani,Ningi,inhabits,Fulani people inhabit Ningi,unknown_0
James Iroha Uchechukwu,Nigerian photographer,instance_of,James Iroha Uchechukwu is a Nigerian photographer,unknown_0
James Iroha Uchechukwu,Nigeria,from,James Iroha Uchechukwu is from Nigeria,unknown_0
James Iroha Uchechukwu,Enugu,born_in,James Iroha Uchechukwu was born in Enugu,unknown_0
James Iroha Uchechukwu,21st century,active_in,James Iroha Uchechukwu was active in the 21st century,unknown_0
James Iroha Uchechukwu,horizon of Nigerian photography,broadened,James Iroha Uchechukwu broadened the horizon of Nigerian photography,unknown_0
Nigerian photography,photography,instance_of,Nigerian photography is an instance of photography,unknown_0
horizon of Nigerian photography,Nigerian photography,scope_of,The horizon of Nigerian photography is the scope of Nigerian photography,unknown_0
Noorat,Victoria,located_in,Noorat is located in Victoria,unknown_0
Noorat,Australia,part_of,Noorat is part of Australia,unknown_0
Noorat,Mount Noorat,located_at_base_of,Noorat is located at the base of Mount Noorat,unknown_0
Mount Noorat,volcano,instance_of,Mount Noorat is an instance of a volcano,unknown_0
Noorat,population,has,Noorat has a population,unknown_0
Noorat,Melbourne,distance_from,Noorat is approximately 218 km west of Melbourne,unknown_0
census,population,counts,the census counts the population of Noorat,unknown_0
Hinduism,Australia,located_in,Hinduism is practiced in Australia,unknown_0
Hinduism,Population,has_followers,Hinduism has followers in Australia,unknown_0
Population,Australia,measured_in,Population is measured in Australia,unknown_0
Census,2016,occurred_in,Census occurred in 2016,unknown_0
Census,2011,occurred_in,Census occurred in 2011,unknown_0
Census,2006,occurred_in,Census occurred in 2006,unknown_0
Enugu,Enugu State,capital_of,Enugu is the capital of Enugu State,unknown_0
Enugu,Nigeria,located_in,Enugu is located in Nigeria,unknown_0
Enugu,hill top,characterized_by,Enugu is characterized by its hilly geography,unknown_0
Enugu,Enugwu Ngwo,named_after,Enugu was named after Enugwu Ngwo,unknown_0
Enugwu Ngwo,coal,associated_with,Enugwu Ngwo is associated with the discovery of coal,unknown_0
Terang,Western District,located_in,Terang is located in the Western District,unknown_0
Terang,Victoria,located_in,Terang is located in Victoria,unknown_0
Terang,Australia,located_in,Terang is located in Australia,unknown_0
Terang,Shire of Corangamite,governed_by,Terang is governed by the Shire of Corangamite,unknown_0
Terang,Princes Highway,adjacent_to,Terang is adjacent to the Princes Highway,unknown_0
Terang,Melbourne,distance_from,Terang is 212 km south west of Melbourne,unknown_0
Population,Terang,measured_in,Population is measured in Terang,unknown_0
2006,Census,related_to,2006 is related to the Census,unknown_0
2001,Census,related_to,2001 is related to the Census,unknown_0
2011,Census,related_to,2011 is related to the Census,unknown_0
Shiqi Subdistrict,Zhongshan city,located_in,Shiqi Subdistrict is located in Zhongshan city,unknown_0
Shiqi Subdistrict,Kei River,mother_river,Kei River is the mother river of Shekki district,unknown_0
Shiqi Subdistrict,Shekki district,administers,Shiqi Subdistrict administers Shekki district,unknown_0
Shiqi Subdistrict,neighborhood committees,has,Shiqi Subdistrict has 19 neighborhood committees,unknown_0
Shiqi Subdistrict,commerce,center_for,Shiqi Subdistrict is the center for commerce and culture,unknown_0
Shiqi Subdistrict,Guangdong Zhongshan Industrial Park,has,Shiqi Subdistrict has Guangdong Zhongshan Industrial Park,unknown_0
Shiqi Subdistrict,business enterprises,has,Shiqi Subdistrict has 11767 business enterprises,unknown_0
study,Shiqi Subdistrict,focus_of,a study in 2006 focused on Shiqi Subdistrict,unknown_0
Barbara Avedon,Bewitched,worked on,Barbara Avedon was a writer for the television series Bewitched,unknown_0
Barbara Avedon,Executive Suite,worked on,Barbara Avedon wrote for the television series Executive Suite,unknown_0
Barbara Avedon,Fish,worked on,Barbara Avedon wrote for the television series Fish,unknown_0
Barbara Avedon,Cagney & Lacey,created,Barbara Avedon and Barbara Corday created the television series Cagney & Lacey,unknown_0
Barbara Avedon,Barbara Corday,mentored,Barbara Avedon mentored Barbara Corday in screenwriting,unknown_0
Barbara Avedon,Barbara Corday,best friends,Barbara Avedon and Barbara Corday were best friends,unknown_0
Barbara Avedon,Molly Haskell,inspired by,Barbara Avedon was inspired by Molly Haskell's book From Reverence to Rape,unknown_0
Barbara Corday,Cagney & Lacey,created,Barbara Avedon and Barbara Corday created the television series Cagney & Lacey,unknown_0
Barbara Corday,Barbara Avedon,mentored by,Barbara Corday was mentored by Barbara Avedon in screenwriting,unknown_0
Barbara Corday,Barbara Avedon,best friends,Barbara Avedon and Barbara Corday were best friends,unknown_0
D.C. Cab,Max Gail,starring,actor in the film,unknown_0
D.C. Cab,Adam Baldwin,starring,actor in the film,unknown_0
D.C. Cab,Mr. T,starring,actor in the film,unknown_0
D.C. Cab,Charlie Barnett,starring,actor in the film,unknown_0
D.C. Cab,Gary Busey,starring,actor in the film,unknown_0
D.C. Cab,Marsha Warfield,starring,actress in the film,unknown_0
D.C. Cab,Whitman Mayo,starring,actor in the film,unknown_0
D.C. Cab,Joel Schumacher,directed by,film director,unknown_0
D.C. Cab,Topper Carew,written by,screenwriter,unknown_0
D.C. Cab,Comedy film,genre,film genre,unknown_0
D.C. Cab,American film,national origin,national origin of film,unknown_0
Film production,D.C. Cab,product of,film production process,unknown_0
Detective Phil Fish,Abe Vigoda,played_by,Portrayed by Abe Vigoda,unknown_0
Detective Phil Fish,Barney Miller,part_of,Character in the TV series,unknown_0
Detective Phil Fish,Fish,part_of,Character in the spin-off series,unknown_0
Barney Miller,TV series,instance_of,Example of a TV series,unknown_0
Fish,Barney Miller,spin_off_of,Spin-off of the TV series,unknown_0
Jim Moody,television,involved_in,worked in the television industry,unknown_0
Jim Moody,film,involved_in,worked in the film industry,unknown_0
Jim Moody,character actor,is_a,type of actor,unknown_0
Gene Daniels,Bad Boys,appeared_in,played a role in the film,unknown_0
Mr. Farrell,Fame,appeared_in,played a role in the film,unknown_0
Arnie,D.C. Cab,appeared_in,played a role in the film,unknown_0
"Leroy Greene, Sr.",The Last Dragon,appeared_in,played a role in the film,unknown_0
"Portsmouth, Virginia",Jim Moody,birthplace,location of birth,unknown_0
Jack Soo,actor,instance_of,Jack Soo is an actor,unknown_0
Jack Soo,Japanese American,member_of,Jack Soo is a Japanese American,unknown_0
Jack Soo,Barney Miller,appeared_in,Jack Soo appeared in the TV show Barney Miller,unknown_0
Detective Nick Yemana,Barney Miller,part_of,Detective Nick Yemana is a character in the TV show Barney Miller,unknown_0
Nellie Bellflower,Phoenix,birthplace,"Nellie Bellflower was born in Phoenix, Arizona",unknown_0
Nellie Bellflower,Ruby-Spears,worked_with,Nellie Bellflower provided voice for Princess Ariel in Thundarr the Barbarian,unknown_0
Nellie Bellflower,Princess Ariel,voiced,Nellie Bellflower provided voice for Princess Ariel in Thundarr the Barbarian,unknown_0
Nellie Bellflower,The Last Unicorn,acted_in,Nellie Bellflower was in The Last Unicorn,unknown_0
Nellie Bellflower,Rankin/Bass,worked_with,Nellie Bellflower worked with Rankin/Bass on The Return of the King,unknown_0
Nellie Bellflower,Americathon,acted_in,Nellie Bellflower was in Americathon,unknown_0
Nellie Bellflower,East of Eden,acted_in,Nellie Bellflower was in East of Eden,unknown_0
Nellie Bellflower,Barnaby Jones,guest_starred,Nellie Bellflower guest-starred in Barnaby Jones,unknown_0
Nellie Bellflower,Barney Miller,guest_starred,Nellie Bellflower guest-starred in Barney Miller,unknown_0
Nellie Bellflower,Starsky and Hutch,guest_starred,Nellie Bellflower guest-starred in Starsky and Hutch,unknown_0
Nellie Bellflower,Happy Days,guest_starred,Nellie Bellflower guest-starred in Happy Days,unknown_0
Nellie Bellflower,Michael Mislove,married_to,Nellie Bellflower is married to Michael Mislove,unknown_0
Nellie Bellflower,The Girl in Melanie Klein,,,unknown_0
Maxwell Trowbridge Gail Jr.,actor,instance_of,Maxwell Trowbridge Gail Jr. is an actor,unknown_0
Max Gail,Maxwell Trowbridge Gail Jr.,synonym,Max Gail is another name for Maxwell Trowbridge Gail Jr.,unknown_0
Detective Stan Wojciehowicz,Barney Miller,part_of,Detective Stan Wojciehowicz is a character on Barney Miller,unknown_0
Maxwell Trowbridge Gail Jr.,Barney Miller,starred_in,Maxwell Trowbridge Gail Jr. starred in Barney Miller,unknown_0
actor,television sitcom,type_of,actors are a type of character in a television sitcom,unknown_0
Ronald Joseph Cicenia,Ron Carey,alias,stage name,unknown_0
Ronald Joseph Cicenia,Barney Miller,actor,played a role in the TV series,unknown_0
Ronald Joseph Cicenia,NYPD Police Officer Carl Levitt,played,played the character in the TV series,unknown_0
Ronald Joseph Cicenia,Angelo Molinari,played,played the character in the TV series,unknown_0
Barney Miller,Ronald Joseph Cicenia,actor,played a role in the TV series,unknown_0
Barney Miller,Ron Carey,actor,played a role in the TV series,unknown_0
Barney Miller,NYPD Police Officer Carl Levitt,character,played the character in the TV series,unknown_0
Barney Miller,Angelo Molinari,character,played the character in the TV series,unknown_0
Steve Landesberg,Barney Miller,actor_in,played the role of Arthur P. Dietrich,unknown_0
Steve Landesberg,Arthur P. Dietrich,created_character,portrayed the character,unknown_0
Barney Miller,Emmy Awards,nominated_for,Steve Landesberg was nominated for three Emmy Awards,unknown_0
Joe Bash,Peter Boyle,starring,actor in the series,unknown_0
Joe Bash,New York City Police Department,set_in,takes place in the police department,unknown_0
Joe Bash,ABC,aired_on,aired on the network,unknown_0
Joe Bash,Danny Arnold,created_by,created by the producer,unknown_0
Joe Bash,Tetagram Ltd.,produced_by,produced by the company,unknown_0
Joe Bash,Barney Miller,inspired_by,inspired by the previous series,unknown_0
Danny Arnold,Tetagram Ltd.,worked_for,worked for the company,unknown_0
Danny Arnold,Chris Hayward,collaborated_with,collaborated with the producer,unknown_0
Philip Jayson Lasker,Joe Bash,wrote,wrote for the series,unknown_0
John Florea,Joe Bash,directed,directed an episode of the series,unknown_0
Late Night Final,Richard Hawley,created_by,Richard Hawley created the album,unknown_0
Late Night Final,Setanta Records,released_by,Setanta Records released the album,unknown_0
Late Night Final,"Baby, You're My Light",includes,"Baby, You're My Light is a single from the album",unknown_0
"Baby, You're My Light",Late Night Final,part_of,"Baby, You're My Light is a part of the album",unknown_0
Sheffield Star,Sheffield,published_in,Sheffield Star is published in Sheffield,unknown_0
Richard Hawley,music,involved_in,Richard Hawley is involved in music,unknown_0
Lady's Bridge,Richard Hawley,album_by,Richard Hawley released the album Lady's Bridge,unknown_0
Richard Hawley,Sheffield,hometown,Richard Hawley is from Sheffield,unknown_0
Richard Hawley,Coles Corner,predecessor,Coles Corner is Richard Hawley's previous album,unknown_0
Mercury Music Prize,Coles Corner,nominated,Coles Corner was nominated for the Mercury Music Prize,unknown_0
Martin Parr,Richard Hawley,photographed,Martin Parr photographed Richard Hawley for the album cover,unknown_0
Club 60,Richard Hawley,venue,Richard Hawley played at Club 60,unknown_0
Dave Hawley,lung cancer,affected_by,Dave Hawley died of lung cancer,unknown_0
Muddy Waters,Club 60,performed_at,Muddy Waters performed at Club 60,unknown_0
John Lee Hooker,Club 60,performed_at,John Lee Hooker performed at Club 60,unknown_0
Standing at the Sky's Edge,Richard Hawley,created_by,Richard Hawley created the album,unknown_0
Standing at the Sky's Edge,album,instance_of,Standing at the Sky's Edge is an album,unknown_0
Richard Hawley,music,involved_in,Richard Hawley is involved in music,unknown_0
Skye Edge,Sheffield,located_in,Skye Edge is located in Sheffield,unknown_0
guitars,music,used_in,guitars are used in music,unknown_0
crime-ridden estates,Skye Edge,characterized_by,Skye Edge was characterized by crime-ridden estates,unknown_0
